"'COMPROBANTE NUMERO","'DIA","'MES","'AÑO","'DETALLE","'TASAS INTERESES EA","'VALOR COMPRA","'CARGOS Y ABONOS","'SALDO CREDITO DIFERIDO","'TOTAL","'CUOTAS FACT","'PEND",
"'9180","'26","'03","'25","'SEGURO DE VIDA DEUDOR","'0.00","'$0.00","'$3,805.00","'$0.00","'00","'00","'00",
"'0000","'26","'03","'25","'INTERESES FACTURADOS","'0.00","'$0.00","'$369.07","'$0.00","'00","'00","'00",
"'3421","'23","'03","'25","'HURTADO SOLARI CALI","'24.86","'$40,800.00","'$40,800.00","'$0.00","'01","'01","'00",
"'3532","'23","'03","'25","'GREEN EDS PASOANCHO CALI","'24.86","'$149,610.00","'$149,610.00","'$0.00","'01","'01","'00",
"'6651","'22","'03","'25","'KV GROUP SAS CALI","'24.86","'$41,600.00","'$41,600.00","'$0.00","'01","'01","'00",
"'6561","'21","'03","'25","'TIENDAS ARA CALI","'24.86","'$47,400.00","'$47,400.00","'$0.00","'01","'01","'00",
"'6439","'21","'03","'25","'SUPER INTER UNICO SALO CALI","'24.86","'$98,782.00","'$49,391.00","'$49,391.00","'02","'01","'01",
"'9036","'14","'03","'25","'EXITO WOW UNICALI CALI","'24.86","'$66,845.00","'$66,845.00","'$0.00","'01","'01","'00",
"'0037","'10","'03","'25","'SUPER INTER UNICO SALO CALI","'24.86","'$52,800.00","'$52,800.00","'$0.00","'01","'01","'00",
"'4392","'10","'03","'25","'SMART FIT METROPOLIS BOGOTA DC","'24.86","'$79,900.00","'$79,900.00","'$0.00","'01","'01","'00",
"'4494","'10","'03","'25","'TIENDA D1 VILLA DEL PR CALI","'24.86","'$68,570.00","'$68,570.00","'$0.00","'01","'01","'00",
"'5417","'01","'03","'25","'PAGO ATH CANALES ELECTRONICOS","'0.00","'$0.00","'$-909,966.00","'$0.00","'00","'00","'00",
"'6272","'01","'03","'25","'HOTEL CASA GUADALUPE D CALI","'24.86","'$47,000.00","'$46,999.18","'$0.00","'01","'01","'00",
"'8755","'01","'03","'25","'ORGANIZACION TERPEL S YUMBO","'24.86","'$117,153.00","'$117,153.00","'$0.00","'01","'01","'00",
,,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'93.40820313","'74.02343750","'82.47070313","'79.29687500","'94.53125000","'93.79882813","'94.53125000","'94.62890625","'92.62695313","'40.64941406","'40.64941406","'40.64941406",
"'84.76562500","'67.18750000","'74.80468750","'71.97265625","'85.74218750","'85.10742188","'85.74218750","'85.83984375","'84.03320313","'77.39257813","'76.31835938","'73.63281250",
"'88.23242188","'69.92187500","'77.88085938","'74.90234375","'89.25781250","'88.57421875","'89.25781250","'89.35546875","'87.45117188","'80.56640625","'79.44335938","'76.61132813",
"'86.71875000","'68.70117188","'76.56250000","'73.63281250","'87.74414063","'87.10937500","'87.74414063","'87.84179688","'85.98632813","'79.19921875","'78.12500000","'75.29296875",
"'88.37890625","'70.01953125","'77.97851563","'75.00000000","'89.40429688","'88.72070313","'89.40429688","'89.50195313","'87.59765625","'80.71289063","'79.58984375","'76.75781250",
"'87.50000000","'69.33593750","'77.19726563","'74.26757813","'88.52539063","'87.84179688","'88.52539063","'88.57421875","'86.71875000","'79.88281250","'78.75976563","'75.97656250",
"'87.15820313","'69.04296875","'76.90429688","'73.97460938","'88.18359375","'87.50000000","'88.18359375","'88.28125000","'86.37695313","'79.58984375","'78.46679688","'75.68359375",
"'89.01367188","'70.55664063","'78.56445313","'75.58593750","'90.08789063","'89.40429688","'90.08789063","'90.13671875","'88.23242188","'81.29882813","'80.17578125","'77.29492188",
"'87.25585938","'69.14062500","'77.00195313","'74.07226563","'88.28125000","'87.59765625","'88.28125000","'88.37890625","'86.47460938","'79.68750000","'78.56445313","'75.78125000",
"'88.13476563","'69.82421875","'77.78320313","'74.80468750","'89.16015625","'88.47656250","'89.16015625","'89.25781250","'87.35351563","'80.46875000","'79.34570313","'76.51367188",
"'85.30273438","'67.57812500","'75.29296875","'72.41210938","'86.27929688","'85.64453125","'86.27929688","'86.37695313","'84.52148438","'77.88085938","'76.80664063","'74.07226563",
"'86.47460938","'68.55468750","'76.36718750","'73.43750000","'87.50000000","'86.86523438","'87.50000000","'87.59765625","'85.74218750","'79.00390625","'77.88085938","'75.09765625",
"'85.83984375","'68.01757813","'75.78125000","'72.90039063","'86.86523438","'86.18164063","'86.86523438","'86.91406250","'85.10742188","'78.41796875","'77.29492188","'74.56054688",
"'80.56640625","'63.81835938","'71.09375000","'68.40820313","'81.49414063","'80.90820313","'81.49414063","'81.59179688","'79.88281250","'73.58398438","'72.55859375","'69.97070313",
"'84.86328125","'67.23632813","'74.90234375","'72.07031250","'85.83984375","'85.20507813","'85.83984375","'85.93750000","'84.13085938","'77.49023438","'76.41601563","'73.68164063",
