"'(+) SALDOS MORA","'$0.00","'SALDO ANTERIOR","'$909,965.18",
"'(+) CARGOS COMPRA MES","'$761,068.18","'(+) TOTAL COMPRAS MES","'$810,460.00",
"'(+) CARGOS AVANCES MES","'$0.00","'(+) AVANCES","'$0.00",
"'(+) INTERESES CORRIENTES","'$369.07","'(+) INTERES CORRIENTE","'$369.07",
"'(+) INTERESES DE MORA","'$0.00","'(+) INTERESES DE MORA","'$0.00",
"'(+) HONORARIOS","'$0.00","'(+) HONORARIOS","'$0.00",
"'(+) GASTOS LEGALES","'$0.00","'(+) GASTOS LEGALES","'$0.00",
"'(+) CARGOS NO DIFERIDOS","'$3,805.00","'(+) CARGOS NO DIFERIDOS","'$3,805.00",
"'PAGO MINIMO","'$765,244.00","'(-) PAGOS Y NOTAS CREDITO","'$909,966.00",
"'PAGO MINIMO REDUCIDO","'$26,687.00","'SALDO TOTAL","'$814,633.25",
,,,

'Confidence Scores % (Table Cell)
""'91.50390625","'86.91406250","'91.35742188","'88.03710938",
"'91.94335938","'87.35351563","'91.79687500","'88.42773438",
"'91.74804688","'87.15820313","'91.60156250","'88.23242188",
"'92.13867188","'87.50000000","'91.99218750","'88.62304688",
"'92.77343750","'88.08593750","'92.62695313","'89.20898438",
"'92.72460938","'88.03710938","'92.57812500","'89.16015625",
"'92.23632813","'87.59765625","'92.08984375","'88.72070313",
"'91.06445313","'86.47460938","'90.91796875","'87.54882813",
"'85.20507813","'80.90820313","'85.05859375","'81.93359375",
"'89.99023438","'85.49804688","'89.84375000","'86.57226563",
