"'","'FORMA DE PAGO","'",
"'BANCO","'CHEQUE NUMERO","'VALOR",
"'","'","'",
"'","'","'",
"'","'","'",
"'CANTIDAD DE CHEQUES","'SUMA CHEQUES","'",
"'","'EFECTIVO","'",
"'","'TOTAL","'",
,,

'Confidence Scores % (Table Cell)
""'86.23046875","'86.23046875","'86.23046875",
"'74.26757813","'76.85546875","'79.19921875",
"'73.29101563","'75.83007813","'78.17382813",
"'79.10156250","'81.83593750","'84.32617188",
"'75.43945313","'78.02734375","'80.41992188",
"'57.95898438","'64.50195313","'66.50390625",
"'57.95898438","'62.89062500","'64.79492188",
"'57.95898438","'65.82031250","'67.82226563",
