'Número de Autorización;'Fecha de Transacción;'Descripción;'Valor Original;'Tasa Pactada;'Tasa EA Facturada;'Cargos y Abonos;'Saldo a Diferir;'Cuotas
'H04826;'09/01/2025;'VR MONEDA ORIG 6,6 ESP HOTEL AMERICA VR MONEDA ORIG 000000003200 ES;'34.67;'1,8646;'24,8186;'0.96;'33.71;'1/36
'H05556;'09/01/2025;'PARADOR DE MERIDA VR MONEDA ORIG 15,0 ESP;'15.57;'1,8646;'24,8186;'0.43;'15.14;'1/36
'R06750;'08/01/2025;'EL CORTE INGLES-DEPART VR MONEDA ORIG 000000005384 ES;'59.70;'1,8646;'24,8186;'1.66;'58.04;'1/36
'F03228;'08/01/2025;'RESCOLDO VIVO VR MONEDA ORIG 000000001100 ES;'12.28;'1,8646;'24,8186;'0.34;'11.94;'1/36
'R05236;'07/01/2025;'MADE OF CORK 4 VR MONEDA ORIG 15,9 ESP;'16.68;'1,8646;'24,8186;'0.46;'16.22;'1/36
'F00321;'07/01/2025;'3AR LA SEGUNDA GIRALDA VR MONEDA ORIG 80,0 ESP;'83.51;'1,8646;'24,8186;'2.32;'81.19;'1/36
'F04550;'07/01/2025;'ALACENA SAN ELOY TIEND VR MONEDA ORIG 3,5 ESP;'3.65;'1,8646;'24,8186;'0.10;'3.55;'1/36
'F03565;'07/01/2025;'ALACENA SAN ELOY TIEND VR MONEDA ORIG 8,9 ESP;'9.34;'1,8646;'24,8186;'0.26;'9.08;'1/36
'T01974;'06/01/2025;'APPLE.COM/BILL VR MONEDA ORIG 15900.0 USA;'3.60;'1,8646;'24,8186;'0.10;'3.50;'1/36
'F07705;'06/01/2025;'MARRAKECH VR MONEDA ORIG 7,0 ESP;'7.21;'1,8646;'24,8186;'0.20;'7.01;'1/36
'R04260;'06/01/2025;'TAXI LIC MUNICIPAL COR VR MONEDA ORIG 11,3 ESP;'11.69;'1,8646;'24,8186;'0.32;'11.37;'1/36
'R00275;'06/01/2025;'TAXI LM 254 VR MONEDA ORIG 10,5 ESP;'10.92;'1,8646;'24,8186;'0.30;'10.62;'1/36
'T01337;'06/01/2025;'Scribd Inc *496589665;'10.70;'1,8646;'24,8186;'0.30;'10.40;'1/36
'T01111;'04/01/2025;'APPLE.COM/BILL VR MONEDA ORIG 7074.1 USA;'1.60-;';';'1.60-;'0.00;'
'F03057;'04/01/2025;'GASTROLETRAS S.L. VR MONEDA ORIG 000000001000 ES;'10.73;'1,8646;'24,8186;'0.30;'10.43;'1/36
'R08721;'04/01/2025;'MARIA DOLORES CANIZARE VR MONEDA ORIG 3,5 ESP;'3.61;'1,8646;'24,8186;'0.10;'3.51;'1/36
'H01336;'04/01/2025;'HOTEL AGUMAR VR MONEDA ORIG 130,3 ESP;'134.30;'1,8646;'24,8186;'3.73;'130.57;'1/36
'R04269;'04/01/2025;'NEBULA SUBSCRIPTION;'6.00;'1,8646;'24,8186;'0.17;'5.83;'1/36
'C05919;'03/01/2025;'ABONO SUCURSAL VIRTUAL;'2,166.00-;';';'2,166.00-;'0.00;'
'C06693;'03/01/2025;'ABONO SUCURSAL VIRTUAL;'164.00-;';';'164.00-;'0.00;'
'T07374;'02/01/2025;'SP HOLAFLY.COM;'63.80;'1,8646;'24,8186;'1.77;'60.30;'1/36
'R00674;'31/12/2024;'AMAZON MKTPL*ZP6S514N0;'164.37;';';'0.00;'0.00;'36/36
;;;;;;;;
;;;;;;;;
'Confidence Scores % (Table Cell);;;;;;;;
"'95.55664063""";'91.74804688;'96.58203125;'95.50781250;'94.72656250;'95.06835938;'96.63085938;'96.28906250;'93.06640625
'87.35351563;'87.25585938;'81.10351563;'84.81445313;'85.00976563;'84.03320313;'89.94140625;'92.72460938;'86.42578125
'86.66992188;'83.20312500;'87.59765625;'86.62109375;'85.93750000;'86.23046875;'87.59765625;'87.30468750;'84.37500000
'90.08789063;'86.52343750;'91.06445313;'90.08789063;'89.35546875;'89.64843750;'91.11328125;'90.77148438;'87.74414063
'92.13867188;'88.47656250;'93.11523438;'92.08984375;'91.35742188;'91.69921875;'93.16406250;'92.82226563;'89.74609375
'90.13671875;'86.57226563;'91.11328125;'90.13671875;'89.40429688;'89.69726563;'91.16210938;'90.82031250;'87.79296875
'89.99023438;'86.37695313;'90.91796875;'89.94140625;'89.20898438;'89.50195313;'90.96679688;'90.62500000;'87.59765625
'90.77148438;'87.15820313;'91.74804688;'90.72265625;'89.99023438;'90.33203125;'91.79687500;'91.45507813;'88.37890625
'90.77148438;'87.15820313;'91.74804688;'90.72265625;'89.99023438;'90.33203125;'91.79687500;'91.45507813;'88.37890625
'81.44531250;'78.22265625;'82.32421875;'81.39648438;'80.76171875;'81.05468750;'82.37304688;'82.08007813;'79.29687500
'90.13671875;'86.57226563;'91.11328125;'90.13671875;'89.40429688;'89.69726563;'91.16210938;'90.82031250;'87.79296875
'90.82031250;'87.20703125;'91.79687500;'90.77148438;'90.03906250;'90.38085938;'91.84570313;'91.50390625;'88.42773438
'92.08984375;'88.42773438;'93.06640625;'92.04101563;'91.30859375;'91.65039063;'93.11523438;'92.77343750;'89.69726563
'53.80859375;'51.70898438;'54.39453125;'53.80859375;'53.36914063;'76.70898438;'72.85156250;'65.03906250;'75.04882813
'55.85937500;'53.66210938;'56.44531250;'55.85937500;'55.37109375;'76.70898438;'72.85156250;'65.03906250;'75.04882813
