'Page number,'Número de
Autorización,'Fecha de
Transacción,'Descripción,'Valor Original,'Tasa
Pactada,'Tasa EA
Facturada,'Cargos y Abonos,'Saldo a Diferir,'Cuotas,'Confidence score % (Número de
Autorización),'Confidence score % (Fecha de
Transacción),'Confidence score % (Descripción),'Confidence score % (Valor Original),'Confidence score % (Tasa
Pactada),'Confidence score % (Tasa EA
Facturada),'Confidence score % (Cargos y Abonos),'Confidence score % (Saldo a Diferir),'Confidence score % (Cuotas)
'2,'H04826,'09/01/2025,'HOTEL AMERICA,'34.67,'1,8646,'24.8186,'0.96,'33.71,'1/36,'58.05276108,'84.48291779,'88.09876251,'89.60749817,'29.43387985,'86.23609924,'89.12326050,'99.44189453,'79.73017883
'2,'H05556,'09/01/2025,'PARADOR DE MERIDA,'15.57,'1,8646,'24.8186,'0.43,'15.14,'1/36,'45.31462097,'82.08894348,'93.23995209,'40.50426865,'83.49238586,'83.86228943,'86.79878998,'98.29690552,'77.51344299
'2,'R06750,'08/01/2025,'EL CORTE INGLES-DEPART,'59.70,'1,8646,'24,8186,'1.66,'58.04,'1/36,'42.90781403,'81.71402740,'31.72825623,'86.83756256,'83.10827637,'83.42411804,'86.15726471,'98.35553741,'77.07812500
'2,'F03228,'08/01/2025,'RESCOLDO VIVO,'12.28,'1,8646,'24,8186,'0.34,'11.94,'1/36,'39.69015884,'80.77342224,'33.92504883,'85.84886932,'82.22066498,'82.51630402,'85.25045013,'94.35920715,'76.21979523
'2,'R05236,'07/01/2025,'MADE OF CORK 4
VR MONEDA ORIG 15,9 ESP,'16.68,'1,8646,'24.8186,'0.46,'16.22,'1/36,'39.29920959,'81.82967377,'92.05601501,'52.10627365,'83.23711395,'83.55704498,'86.32583618,'97.91811371,'77.16896057
'2,'F00321,'07/01/2025,'3AR LA SEGUNDA GIRALDA,'83.51,'1,8646,'24,8186,'2.32,'81.19,'1/36,'49.06494141,'81.91922760,'98.70707703,'33.41633987,'83.31935120,'83.61544037,'86.43275452,'98.58226013,'77.24065399
'2,'F04550,'07/01/2025,'ALACENA SAN ELOY TIEND,'3.65,'1,8646,'24,8186,'0.10,'3.55,'1/36,'43.85456848,'82.38252258,'91.69981384,'58.83990479,'83.79417419,'84.10033417,'86.84140015,'99.49667358,'77.68978119
'2,'F03565,'07/01/2025,'ALACENA SAN ELOY TIEND,'9.34,'1,8646,'24,8186,'0.26,'9.08,'1/36,'37.44386673,'82.33759308,'95.08608246,'69.21494293,'83.67788696,'84.00467682,'86.91494751,'99.74800110,'77.65151978
'2,'T01974,'06/01/2025,'APPLE.COM/BILL,'3.60,'1,8646,'24,8186,'0.10,'3.50,'1/36,'41.73939133,'80.59164429,'94.08033752,'58.30484772,'81.93752289,'82.28900146,'84.90119934,'99.75926971,'76.04933929
'2,'F07705,'06/01/2025,'MARRAKECH,'7.21,'1,8646,'24,8186,'0.20,'7.01,'1/36,'52.12296295,'78.12779999,'94.61841583,'57.02667236,'93.73921204,'79.82641602,'82.57915497,'42.43078995,'73.78134155
'2,'R04260,'06/01/2025,'TAXI LIC MUNICIPAL COR,'11.69,'1,8646,'24,8186,'0.32,'11.37,'1/36,'47.40565109,'79.71623230,'94.65373993,'69.16257477,'82.36565399,'81.54853058,'84.37971497,'79.35391998,'75.35336304
'2,'R00275,'06/01/2025,'TAXI LM 254,'10.92,'1,8646,'24,8186,'0.30,'10.62,'1/36,'51.71339035,'82.58514404,'89.29180145,'52.99991226,'86.73812103,'84.49534607,'87.46894836,'68.31811523,'78.05863953
'2,'F03057,'04/01/2025,'GASTROLETRAS S.L.,'10.73,'1,8646,'24,8186,'0.30,'10.43,'1/36,'41.04201126,'78.58316040,'94.53708649,'42.76390839,'45.51799774,'80.29448700,'83.08812714,'54.77905273,'74.24584961
'2,'R08721,'04/01/2025,'MARIA DOLORES CANIZARE,'3,61,'1,8646,'24,8186,'0.10,'3.51,'1/36,'36.51191711,'81.40851593,'99.19069672,'73.05660248,'68.76850128,'83.05725098,'85.93872833,'45.13125610,'76.76967621
'2,'H01336,'04/01/2025,'HOTEL AGUMAR,'134.30,'1,8646,'24,8186,'3.73,'130.57,'1/36,'39.38756943,'82.08091736,'98.02018738,'46.02536392,'64.88328552,'83.73085785,'86.70815277,'71.83718872,'77.42158508
'2,'R04269,'04/01/2025,'NEBULA SUBSCRIPTION,'6.00,'1,8646,'24,8186,'0.17,'5.83,'1/36,'36.31657791,'78.26779175,'99.58338928,'57.08691406,'71.44630432,'79.77552795,'82.60648346,'28.35364723,'73.69364166
'2,'T07374,'02/01/2025,'SP HOLAFLY.COM,'63.80,'1.8646,'24,8186,'1.77,'60.30,'1/36,'38.28371429,'81.29118347,'99.54475403,'80.45326233,'95.08824921,'82.97951508,'85.90302277,'79.22564697,'76.64920044
