'Page Number;'Type;'Text;'Confidence Score % (Line)
'1;'LINE;'CUPÓN DE PAGO EN:;'98.82493591
'1;'LINE;'DOLARES;'99.52487183
'1;'LINE;'Bancolombia;'99.45651245
'1;'LINE;'MasterCard;'99.01148224
'1;'LINE;'NIT: 890.903.938-8;'99.29368591
'1;'LINE;'812;'99.30584717
'1;'LINE;'SEÑOR (A):;'98.90276337
'1;'LINE;'FECHA DE PAGO;'99.41001129
'1;'LINE;'Tarjeta:;'98.83749390
'1;'LINE;'AÑO;'99.41585541
'1;'LINE;'MES;'99.56054688
'1;'LINE;'DÍA;'98.92438507
'1;'LINE;'FORMA DE PAGO;'99.31806946
'1;'LINE;'VALOR;'99.63787079
'1;'LINE;'EFECTIVO;'99.67693329
'1;'LINE;'CHEQUE;'99.84375000
'1;'LINE;'BANCO;'99.72417450
'1;'LINE;'NÚMERO;'98.44865417
'1;'LINE;'Bancolombia;'99.63229370
'1;'LINE;'MasterCard;'99.19862366
'1;'LINE;'NIT: 890.903.938-8;'98.93933868
'1;'LINE;'ESTADO DE CUENTA EN:;'99.21720886
'1;'LINE;'DOLARES;'99.64445496
'1;'LINE;'Recuerda estar al día en el pago de tu tarjeta;'99.18580627
'1;'LINE;'Evolucionamos nuestra imagen;'99.74343872
'1;'LINE;'para evitar cobro de intereses por mora, débitos a;'98.72105408
'1;'LINE;'pero tus tarjetas siguen;'99.53294373
'1;'LINE;'tus cuentas y el bloqueo de tu tarjeta.;'98.38832092
'1;'LINE;'siendo válidas.;'99.12178802
'1;'LINE;'Recuerda estar al día en el pago de tu tarjeta para evitar cobro de intereses por mora, débitos a tus cuentas y el bloqueo de tu tarjeta.;'97.92894745
'1;'LINE;'Cupo Total;'99.17699432
'1;'LINE;'Cupo de Avances;'99.30950165
'1;'LINE;'Período Facturado;'98.92897034
'1;'LINE;'$ 14,000,000.00;'90.44343567
'1;'LINE;'$ 14,000,000.00;'90.87770844
'1;'LINE;'Desde: 30/12/2024;'99.61634827
'1;'LINE;'Hasta: 30/01/2025;'99.23847961
'1;'LINE;'Disponible Total;'99.54021454
'1;'LINE;'Disponible Avances;'99.30146027
'1;'LINE;'Pague antes de;'99.21456909
'1;'LINE;'Valor Pagado;'99.05133820
'1;'LINE;'$ 3,489,559.70;'74.07784271
'1;'LINE;'$ 3,489,559.70;'67.04141235
'1;'LINE;'17/02/2025;'99.85271454
'1;'LINE;'Tasas de interés vigente;'99.27041626
'1;'LINE;'Resumen Saldo Total;'99.31248474
'1;'LINE;'Resumen Pago Mínimo;'99.31846619
'1;'LINE;'Saldo anterior;'99.01347351
'1;'LINE;'2,165.50;'99.67534637
'1;'LINE;'Saldo en mora;'98.30882263
'1;'LINE;'0.00;'99.55895233
'1;'LINE;'M.V.;'98.46719360
'1;'LINE;'E.A.;'70.19052887
'1;'LINE;'+ Compras del mes;'97.01675415
'1;'LINE;'853.34;'99.64764404
'1;'LINE;'+ Cuota compras del mes;'97.05131531
'1;'LINE;'19.12;'99.56472778
'1;'LINE;'+ Intereses de mora;'96.80957794
'1;'LINE;'0.00;'99.61914063
'1;'LINE;'+ Intereses de mora;'97.14121246
'1;'LINE;'0.00;'99.83398438
'1;'LINE;'Compra Internacional;'99.26856995
'1;'LINE;'1,8646%;'81.76519012
'1;'LINE;'24,8186%;'76.76578522
'1;'LINE;'+ Intereses corrientes;'96.73030853
'1;'LINE;'1.49;'99.41007233
'1;'LINE;'+ Intereses corrientes;'96.23577881
'1;'LINE;'1.49;'99.68590546
'1;'LINE;'Avance Internacional;'99.43898010
'1;'LINE;'1,8646%;'80.90142822
'1;'LINE;'24,8186%;'75.42908478
'1;'LINE;'+ Avances;'94.79372406
'1;'LINE;'0.00;'99.68750000
'1;'LINE;'+ Cuota avances;'96.62195587
'1;'LINE;'0.00;'99.81445313
'1;'LINE;'Mora;'99.48899841
'1;'LINE;'1,8646%;'79.25123596
'1;'LINE;'24,8186%;'78.95866394
'1;'LINE;'+ Otros cargos;'96.14669800
'1;'LINE;'0.00;'99.50195313
'1;'LINE;'+ Otros cargos;'96.31217957
'1;'LINE;'0.00;'99.75585938
'1;'LINE;'Pagos abonos;'98.42454529
'1;'LINE;'2,331.60;'99.72417450
'1;'LINE;'+ Cuota compras anteriores;'97.14993286
'1;'LINE;'0.00;'99.75505829
'1;'LINE;'Saldo a favor;'95.59852600
'1;'LINE;'0.00;'99.54101563
'1;'LINE;'Saldo a favor;'97.58649445
'1;'LINE;'0.00;'99.61834717
'1;'LINE;'Pagos total;'99.45681000
'1;'LINE;'689.00;'99.77458954
'1;'LINE;'Pago mínimo;'98.89021301
'1;'LINE;'21.00;'99.79492188
'1;'LINE;'Otros cargos: Este valor incluye los siguientes conceptos: Comisión avance, cuota de manejo, IVA por reexpedición, GMF y cobro por reexpedición;'97.10111237
'1;'LINE;'Con Bancolombia Acumulas + Más Puntos Colombia. Consulta tu saldo de puntos, su fecha de vencimiento, redime y entérate de todos los aliados para ti;'97.59548950
'1;'LINE;'en www.puntoscolombia.com;'97.30708313
'1;'LINE;'Establecimiento Bancario.;'82.21878815
'1;'LINE;'Número de;'98.78936768
'1;'LINE;'Fecha de;'99.45641327
'1;'LINE;'Tasa;'99.75426483
'1;'LINE;'Tasa EA;'98.27387238
'1;'LINE;'Descripción;'97.76865387
'1;'LINE;'Valor Original;'99.56592560
'1;'LINE;'Cargos y Abonos;'94.69168854
'1;'LINE;'Saldo a Diferir;'96.97976685
'1;'LINE;'Cuotas;'99.37440491
'1;'LINE;'Autorización;'98.45683289
'1;'LINE;'Transacción;'98.08833313
'1;'LINE;'Pactada;'99.59402466
'1;'LINE;'Facturada;'99.36463928
'1;'LINE;'30/01/2025;'99.48661041
'1;'LINE;'INTERESES CORRIENTES;'99.13235474
'1;'LINE;'1.49;'99.41007233
'1;'LINE;'1.49;'99.38078308
'1;'LINE;'0.00;'99.41406250
'1;'LINE;'T00426;'98.97899628
'1;'LINE;'25/01/2025;'99.27754211
'1;'LINE;'APPLE.COM/BILL;'96.73369598
'1;'LINE;'6.55;'99.34490204
'1;'LINE;'1,8646;'99.59562683
'1;'LINE;'24,8186;'99.77458954
'1;'LINE;'0.18;'99.41406250
'1;'LINE;'6.37;'99.38317108
'1;'LINE;'1/36;'99.64684296
'1;'LINE;'VR MONEDA ORIG 27800.0 USA;'99.16035461
'1;'LINE;'BANCOLOMBIA S.A.;'90.84567261
'1;'LINE;'T02646;'98.74143219
'1;'LINE;'23/01/2025;'99.77458954
'1;'LINE;'APPLE.COM/BILL;'60.77148438
'1;'LINE;'11.94;'99.71679688
'1;'LINE;'1,8646;'99.40688324
'1;'LINE;'24,8186;'99.67454529
'1;'LINE;'0.33;'99.60937500
'1;'LINE;'11.61;'99.60618591
'1;'LINE;'1/36;'99.64604187
'1;'LINE;'VR MONEDA ORIG 51400.0 USA;'98.94029236
'1;'LINE;'T05318;'99.08960724
'1;'LINE;'22/01/2025;'99.79412842
'1;'LINE;'APPLE.COM/BILL;'58.78089142
'1;'LINE;'6.65;'99.61834717
'1;'LINE;'1,8646;'99.40688324
'1;'LINE;'24,8186;'99.80388641
'1;'LINE;'0.18;'99.63867188
'1;'LINE;'6.47;'99.65820313
'1;'LINE;'1/36;'99.61674500
'1;'LINE;'VR MONEDA ORIG 28900.0 USA;'94.77311707
'1;'LINE;'T04808;'99.44754028
'1;'LINE;'22/01/2025;'99.76483154
'1;'LINE;'APPLE.COM/BILL;'97.00414276
'1;'LINE;'12.55;'93.51741791
'1;'LINE;'1,8646;'99.25801086
'1;'LINE;'24,8186;'99.76403046
'1;'LINE;'0.35;'99.49059296
'1;'LINE;'12.20;'99.80468750
'1;'LINE;'1/36;'98.95786285
'1;'LINE;'VR MONEDA ORIG 54500.0 USA;'94.56991577
'1;'LINE;'T05891;'99.45810699
'1;'LINE;'19/01/2025;'99.87304688
'1;'LINE;'APPLE.COM/BILL;'98.12679291
'1;'LINE;'10.35;'99.67693329
'1;'LINE;'1,8646;'99.39712524
'1;'LINE;'24,8186;'99.68431091
'1;'LINE;'0.29;'99.45312500
'1;'LINE;'10.06;'99.79492188
'1;'LINE;'1/36;'99.68750000
'1;'LINE;'SUPERINTENDENCIA FINANCIERA;'87.11421204
'1;'LINE;'VR MONEDA ORIG 44900,0 USA;'94.33350372
'1;'LINE;'COLOMBIA;'91.48935699
'1;'LINE;'T06913;'98.53076935
'1;'LINE;'15/01/2025;'99.88281250
'1;'LINE;'Nintendo CA1340869938;'98.94470978
'1;'LINE;'24.99;'99.72576141
'1;'LINE;'1,8646;'99.08801270
'1;'LINE;'24,8186;'99.69407654
'1;'LINE;'0.69;'99.49218750
'1;'LINE;'24.30;'99.88281250
'1;'LINE;'1/36;'99.63867188
'1;'LINE;'T04471;'99.16772461
'1;'LINE;'15/01/2025;'99.84375000
'1;'LINE;'Nintendo CA1341237865;'98.73246002
'1;'LINE;'2.19;'97.74972534
'1;'LINE;'1,8646;'99.39791870
'1;'LINE;'24,8186;'99.68431091
'1;'LINE;'0.06;'99.60937500
'1;'LINE;'2.13;'94.71719360
'1;'LINE;'1/36;'99.61674500
'1;'LINE;'R01044;'99.76562500
'1;'LINE;'14/01/2025;'99.73394012
'1;'LINE;'OPENAI *CHATGPT SUBSCR;'98.38761139
'1;'LINE;'20.00;'99.73632813
'1;'LINE;'1,8646;'99.35805511
'1;'LINE;'24,8186;'99.67375183
'1;'LINE;'0.56;'99.61914063
'1;'LINE;'19.44;'99.75505829
'1;'LINE;'1/36;'99.60618591
'1;'LINE;'T04122;'98.72190094
'1;'LINE;'12/01/2025;'99.77539063
'1;'LINE;'PAYPAL *MULLVAD;'99.25064087
'1;'LINE;'5.45;'99.45312500
'1;'LINE;'1,8646;'99.35805511
'1;'LINE;'24,8186;'99.64445496
'1;'LINE;'0.15;'99.63787079
'1;'LINE;'5.30;'98.82274628
'1;'LINE;'1/36;'99.52965546
'1;'LINE;'VR MONEDA ORIG 23549.0 SWE;'99.04364014
'1;'LINE;'R00743;'99.61754608
'1;'LINE;'11/01/2025;'99.81445313
'1;'LINE;'WDFG MADRID T4 2;'96.11557007
'1;'LINE;'45.09;'99.80388641
'1;'LINE;'1,8646;'99.56712341
'1;'LINE;'24,8186;'99.64445496
'1;'LINE;'1.25;'99.44176483
'1;'LINE;'43.84;'99.83318329
'1;'LINE;'1/36;'99.67613983
'1;'LINE;'VIGILADO;'95.22301483
'1;'LINE;'VR MONEDA ORIG 000000004215 ES;'99.08126831
'1;'LINE;'F01354;'99.60937500
'1;'LINE;'10/01/2025;'99.77458954
'1;'LINE;'PETIT CAFE EL GRECO;'98.54647064
'1;'LINE;'15.80;'99.64684296
'1;'LINE;'1,8646;'99.40848541
'1;'LINE;'24,8186;'99.72496796
'1;'LINE;'0.44;'99.56054688
'1;'LINE;'15.36;'99.55735779
'1;'LINE;'1/36;'99.48979950
'1;'LINE;'VR MONEDA ORIG 15,3 ESP;'98.14377594
