"'Número de Autorización","'Fecha de Transacción","'Descripción","'Valor Original","'Tasa Pactada","'Tasa EA Facturada","'Cargos y Abonos","'Saldo a Diferir","'Cuotas",
"'R01555","'21/01/2025","'RAPPI*RAPPI COLOMBIA","'216,500.00","'0,0000","'00,0000","'216,500.00","'0.00","'1/1",
"'R00997","'21/01/2025","'COMCEL PAGO DE FACTURA","'163,239.00","'0,0000","'00,0000","'163,239.00","'0.00","'1/1",
"'R04993","'21/01/2025","'DLO*RAPPI COLOMBIA","'59,000.00","'0,0000","'00,0000","'59,000.00","'0.00","'1/1",
"'R00961","'21/01/2025","'BARAKA PE ON","'26,300.00","'0,0000","'00,0000","'26,300.00","'0.00","'1/1",
"'R04163","'19/01/2025","'CALATHEA","'28,000.00","'0,0000","'00,0000","'28,000.00","'0.00","'1/1",
"'R09846","'19/01/2025","'DLO*RAPPI COLOMBIA","'124,150.00","'0,0000","'00,0000","'124,150.00","'0.00","'1/1",
"'F02435","'19/01/2025","'RESTAURANTE PIZZERIA o","'58,453.00","'0,0000","'00,0000","'58,453.00","'0.00","'1/1",
"'R05403","'18/01/2025","'UBER RIDES","'7,442.00","'0,0000","'00,0000","'7,442.00","'0.00","'1/1",
"'R09213","'18/01/2025","'UBER RIDES","'7,550.00","'0,0000","'00,0000","'7,550.00","'0.00","'1/1",
"'F03199","'18/01/2025","'IZUMI","'241,900.00","'0,0000","'00,0000","'241,900.00","'0.00","'1/1",
"'F09166","'18/01/2025","'EL GUAYABO CAFE","'114,285.00","'0,0000","'00,0000","'114,285.00","'0.00","'1/1",
"'R00770","'17/01/2025","'AMAZON.COM","'254,360.00","'0,0000","'00,0000","'254,360.00","'0.00","'1/1",
"'R01561","'17/01/2025","'AMAZON.COM","'175,201.00","'0,0000","'00,0000","'175,201.00","'0.00","'1/1",
"'R05901","'16/01/2025","'CARULLA AVENIDA COLOMB","'47,700.00","'0,0000","'00,0000","'47,700.00","'0.00","'1/1",
"'R08349","'16/01/2025","'AMAZON.COM","'359,524.00","'0,0000","'00,0000","'359,524.00","'0.00","'1/1",
"'F09255","'15/01/2025","'DiDi co Food","'25,468.00","'0,0000","'00,0000","'25,468.00","'0.00","'1/1",
"'F00671","'15/01/2025","'MINIMARKET","'29,700.00","'0,0000","'00,0000","'29,700.00","'0.00","'1/1",
"'R00183","'15/01/2025","'DLO*RAPPI COLOMBIA","'28,550.00","'0,0000","'00,0000","'28,550.00","'0.00","'1/1",
"'R01665","'14/01/2025","'RAPPI*RAPPI COLOMBIA","'216,500.00","'0,0000","'00,0000","'216,500.00","'0.00","'1/1",
"'R03858","'14/01/2025","'DLO*RAPPI COLOMBIA","'23,490.00","'0,0000","'00,0000","'23,490.00","'0.00","'1/1",
"'R04497","'14/01/2025","'DLO*RAPPI COLOMBIA","'294,033.00","'0,0000","'00,0000","'294,033.00","'0.00","'1/1",
"'R02676","'13/01/2025","'RAPPI*RAPPI COLOMBIA","'35,600.00","'0,0000","'00,0000","'35,600.00","'0.00","'1/1",
"'R05795","'13/01/2025","'EL PATIO DEL MUSEO","'44,796.00","'0,0000","'00,0000","'44,796.00","'0.00","'1/1",
"'R03079","'13/01/2025","'GRUPO EMPRESARIAL LA S","'25,200.00","'0,0000","'00,0000","'25,200.00","'0.00","'1/1",
"'R02668","'13/01/2025","'EMCALI ETCE ESP","'161,573.00","'0,0000","'00,0000","'161,573.00","'0.00","'1/1",
"'F04212","'12/01/2025","'DiDi CO Food","'86,242.00","'0,0000","'00,0000","'86,242.00","'0.00","'1/1",
"'R00040","'12/01/2025","'ADOBE","'333,200.00","'0,0000","'00,0000","'333,200.00","'0.00","'1/1",
"'R02129","'12/01/2025","'DLO*RAPPI","'58,150.00","'0,0000","'00,0000","'58,150.00","'0.00","'1/1",
"'R02489","'12/01/2025","'DLO*RAPPI","'62,450.00","'0,0000","'00,0000","'62,450.00","'0.00","'1/1",
"'R03267","'12/01/2025","'DLO*RAPPI","'56,800.00","'0,0000","'00,0000","'56,800.00","'0.00","'1/1",
"'R07045","'12/01/2025","'DLO*RAPPI","'44,850.00","'0,0000","'00,0000","'44,850.00","'0.00","'1/1",
"'R05443","'11/01/2025","'MOVISTAR PAGOSEPAYCO","'166,175.00","'0,0000","'00,0000","'166,175.00","'0.00","'1/1",
"'T06195","'08/01/2025","'PPRO*MICROSOFT","'42,990.00","'0,0000","'00,0000","'42,990.00","'0.00","'1/1",
"'C06203","'03/01/2025","'ABONO SUCURSAL VIRTUAL","'3,191,670.00-","'","'","'3,191,670.00-","'0.00","'",
"'F02495","'03/01/2025","'DiDi CO Food","'46,394.00","'0,0000","'00,0000","'46,394.00","'0.00","'1/1",
"'F08545","'03/01/2025","'MC DONALD S","'32,400.00","'0,0000","'00,0000","'32,400.00","'0.00","'1/1",
"'R09471","'03/01/2025","'EXITO WOW CHIPICHAPE","'507,201.00","'0,0000","'00,0000","'507,201.00","'0.00","'1/1",
"'R00988","'03/01/2025","'INVERSIONES TNS CHIPIC","'20,600.00","'0,0000","'00,0000","'20,600.00","'0.00","'1/1",
"'R01874","'03/01/2025","'DLO*RAPPI","'82,950.00","'0,0000","'00,0000","'82,950.00","'0.00","'1/1",
"'R08903","'03/01/2025","'ANANDA TALLER DULCE AR","'47,400.00","'0,0000","'00,0000","'47,400.00","'0.00","'1/1",
"'R00113","'31/12/2024","'RAPPI*RAPPI COLOMBIA","'72,500.00","'0,0000","'00,0000","'29,969.44","'0.00","'1/1",
"'R06284","'31/12/2024","'DLO*RAPPI","'64,350.00","'0,0000","'00,0000","'64,350.00","'0.00","'1/1",
"'R02173","'30/12/2024","'DLO*RAPPI","'37,650.00","'","'","'0.00","'0.00","'1/1",
"'","'","'","'","'","'","'","'","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'95.50781250","'92.48046875","'96.28906250","'95.99609375","'91.94335938","'94.14062500","'96.58203125","'95.89843750","'91.06445313",
"'86.91406250","'84.17968750","'87.59765625","'87.35351563","'83.69140625","'85.64453125","'87.89062500","'87.25585938","'82.86132813",
"'89.89257813","'87.06054688","'90.62500000","'90.38085938","'86.57226563","'88.57421875","'90.91796875","'90.28320313","'85.69335938",
"'91.84570313","'88.96484375","'92.57812500","'92.33398438","'88.42773438","'90.52734375","'92.87109375","'92.23632813","'87.54882813",
"'91.60156250","'88.72070313","'92.33398438","'92.08984375","'88.23242188","'90.28320313","'92.62695313","'91.99218750","'87.35351563",
"'93.16406250","'90.23437500","'93.94531250","'93.65234375","'89.69726563","'91.84570313","'94.18945313","'93.55468750","'88.81835938",
"'91.69921875","'88.81835938","'92.43164063","'92.18750000","'88.28125000","'90.38085938","'92.72460938","'92.08984375","'87.40234375",
"'92.77343750","'89.84375000","'93.50585938","'93.21289063","'89.30664063","'91.40625000","'93.79882813","'93.11523438","'88.42773438",
"'91.21093750","'88.28125000","'91.94335938","'91.65039063","'87.79296875","'89.84375000","'92.18750000","'91.55273438","'86.91406250",
"'90.28320313","'87.45117188","'91.01562500","'90.72265625","'86.91406250","'88.96484375","'91.25976563","'90.62500000","'86.08398438",
