"'Tasas de interés","'vigente","'","'Resumen Saldo","'Total","'Resumen Pago Mínimo","'",
"'","'","'","'Saldo anterior","'3,191,669.44","'Saldo en mora","'0.00",
"'","'M.V.","'E.A.","'+ Compras del mes","'7,651,313.00","'+ Cuota compras del mes","'7,571,132.44",
"'","'","'","'+ Intereses de mora","'0.00","'+ Intereses de mora","'0.00",
"'Compra un mes","'0,0000%","'0,0000%","'+ Intereses corrientes","'1,182.27","'+ Intereses corrientes","'1,182.27",
"'Compra 2 36 meses","'1,8646%","'24,8186%","'+ Avances","'0.00","'+ Cuota avances","'0.00",
"'Impuestos","'1,8646%","'24,8186%","'+ Otros cargos","'48,490.00","'+ Otros cargos","'48,490.00",
"'Avances","'1,8646%","'24,8186%","'Pagos abonos","'3,271,850.00","'+ Cuota compras anteriores","'0.00",
"'Mora","'1,8646%","'24,8186%","'Saldo a favor","'0.00","'Saldo a favor","'0.00",
"'","'","'","'= Pagos total","'7,620,805.00","'Pago mínimo","'7,620,805.00",
,,,,,,

'Confidence Scores % (Table Cell)
""'77.73437500","'77.73437500","'77.73437500","'75.19531250","'75.19531250","'70.65429688","'70.65429688",
"'82.91015625","'68.35937500","'71.72851563","'71.43554688","'60.69335938","'88.42773438","'66.21093750",
"'74.51171875","'61.42578125","'64.45312500","'64.20898438","'54.54101563","'79.49218750","'59.47265625",
"'76.61132813","'63.18359375","'66.30859375","'66.06445313","'56.10351563","'81.73828125","'61.18164063",
"'78.36914063","'64.59960938","'67.77343750","'67.52929688","'57.37304688","'83.59375000","'62.54882813",
"'74.70703125","'61.62109375","'64.64843750","'64.40429688","'54.68750000","'79.68750000","'59.66796875",
"'79.19921875","'65.28320313","'68.50585938","'68.26171875","'57.95898438","'84.47265625","'63.23242188",
"'77.83203125","'64.16015625","'67.33398438","'67.08984375","'56.98242188","'83.05664063","'62.15820313",
"'72.75390625","'59.96093750","'62.93945313","'62.69531250","'53.22265625","'77.58789063","'58.05664063",
"'83.88671875","'69.14062500","'72.55859375","'72.26562500","'61.37695313","'89.45312500","'66.94335938",
